Employee ID,Age,Age Group,Attrition,Department,Education,Education Field,Environment Satisfaction,Gender,Job Involvement,Job Role,Job Satisfaction,Marital Status,Monthly Income,Salary Slab,Over Time,Performance Rating,Relationship Satisfaction,Training Times Last Year,Work Life Balance,Years At Company,Years Since Last Promotion,Num Attrition,Num Gender
RM910,19,18-25,No,Research & Development,3,Life Sciences,2,Female,4,Research Scientist,4,Single,2994,Upto 5k,Yes,3,4,2,3,1,0,0,1
RM103,20,18-25,Yes,Research & Development,3,Life Sciences,4,Female,2,Laboratory Technician,4,Single,2926,Upto 5k,Yes,3,2,5,3,1,1,1,1
RM488,20,18-25,No,Research & Development,3,Life Sciences,4,Female,2,Research Scientist,2,Single,2836,Upto 5k,No,3,4,0,4,1,0,0,1
RM514,20,18-25,Yes,Research & Development,1,Medical,4,Male,3,Research Scientist,3,Single,1009,Upto 5k,Yes,3,4,5,3,1,1,1,0
RM663,20,18-25,Yes,Sales,3,Medical,3,Female,2,Sales Representative,3,Single,2044,Upto 5k,No,3,4,3,2,2,0,1,1
RM690,20,18-25,Yes,Research & Development,3,Technical Degree,1,Male,3,Laboratory Technician,1,Single,2973,Upto 5k,No,3,2,2,3,1,0,1,0
RM732,20,18-25,Yes,Research & Development,3,Medical,4,Female,2,Research Scientist,1,Single,2600,Upto 5k,Yes,3,1,2,3,1,0,1,1
RM777,20,18-25,Yes,Sales,3,Marketing,4,Female,3,Sales Representative,4,Single,2323,Upto 5k,Yes,3,2,3,3,2,0,1,1
RM857,20,18-25,No,Research & Development,3,Life Sciences,1,Male,2,Laboratory Technician,3,Single,3033,Upto 5k,No,3,1,2,2,2,1,0,0
RM877,20,18-25,No,Sales,3,Marketing,3,Male,4,Sales Representative,4,Single,2678,Upto 5k,No,3,4,2,3,2,2,0,0
RM1179,20,18-25,No,Sales,3,Medical,3,Female,3,Sales Representative,3,Single,2783,Upto 5k,No,3,1,3,3,2,2,0,1
RM1198,20,18-25,No,Sales,1,Life Sciences,4,Male,3,Sales Representative,1,Single,2728,Upto 5k,No,3,1,3,3,2,0,0,0
RM024,21,18-25,No,Research & Development,2,Life Sciences,3,Male,3,Research Scientist,4,Single,1232,Upto 5k,No,3,4,6,3,0,0,0,0
RM275,21,18-25,No,Research & Development,2,Medical,4,Male,2,Research Scientist,3,Single,3230,Upto 5k,No,3,1,4,4,3,1,0,0
RM358,21,18-25,Yes,Sales,1,Technical Degree,1,Female,2,Sales Representative,2,Single,2174,Upto 5k,Yes,3,3,3,3,3,1,1,1
RM363,21,18-25,No,Sales,2,Medical,1,Male,3,Sales Representative,4,Single,2610,Upto 5k,No,4,3,3,2,3,2,0,0
RM371,21,18-25,Yes,Sales,3,Life Sciences,3,Female,4,Sales Representative,2,Single,2716,Upto 5k,No,3,4,0,3,1,0,1,1
RM497,21,18-25,No,Sales,1,Technical Degree,3,Male,3,Sales Representative,3,Single,3447,Upto 5k,No,3,3,2,3,3,1,0,0
RM664,21,18-25,Yes,Research & Development,1,Other,4,Female,3,Research Scientist,4,Single,2693,Upto 5k,No,3,1,3,2,1,0,1,1
RM778,21,18-25,Yes,Research & Development,3,Life Sciences,3,Female,2,Laboratory Technician,1,Single,1416,Upto 5k,No,3,1,6,2,1,1,1,1
RM816,21,18-25,No,Research & Development,1,Technical Degree,4,Female,2,Research Scientist,2,Single,2070,Upto 5k,Yes,3,3,6,4,2,2,0,1
RM916,21,18-25,Yes,Research & Development,2,Life Sciences,1,Female,2,Laboratory Technician,3,Single,2625,Upto 5k,No,4,3,2,1,2,2,1,1
RM1153,21,18-25,No,Research & Development,1,Medical,3,Male,3,Research Scientist,4,Single,3117,Upto 5k,No,3,3,2,3,2,2,0,0
RM1272,21,18-25,Yes,Sales,1,Marketing,2,Male,3,Sales Representative,2,Single,2679,Upto 5k,No,3,2,3,3,1,1,1,0
RM1437,21,18-25,No,Sales,1,Medical,3,Male,3,Sales Representative,1,Single,2380,Upto 5k,Yes,3,4,6,3,2,1,0,0
RM018,22,18-25,No,Research & Development,2,Medical,4,Male,4,Laboratory Technician,4,Divorced,2935,Upto 5k,Yes,3,2,2,2,1,0,0,0
RM110,22,18-25,No,Research & Development,3,Medical,2,Female,3,Laboratory Technician,4,Single,2871,Upto 5k,No,3,3,5,3,0,0,0,1
RM129,22,18-25,No,Research & Development,1,Technical Degree,3,Male,3,Laboratory Technician,4,Married,2523,Upto 5k,No,3,3,2,3,2,2,0,0
RM161,22,18-25,No,Research & Development,1,Medical,3,Male,3,Research Scientist,4,Married,2323,Upto 5k,No,4,1,6,3,2,2,0,0
RM207,22,18-25,No,Research & Development,3,Life Sciences,4,Male,4,Research Scientist,2,Divorced,2328,Upto 5k,Yes,3,1,2,2,4,2,0,0
RM384,22,18-25,No,Research & Development,3,Medical,1,Female,3,Research Scientist,2,Married,2244,Upto 5k,No,3,4,1,3,2,1,0,1
RM444,22,18-25,Yes,Research & Development,1,Technical Degree,3,Male,2,Laboratory Technician,3,Single,3894,Upto 5k,No,3,3,3,3,2,1,1,0
RM499,22,18-25,No,Research & Development,1,Medical,1,Male,3,Research Scientist,3,Married,2773,Upto 5k,No,4,4,3,3,2,2,0,0
RM631,22,18-25,No,Research & Development,2,Life Sciences,4,Male,2,Manufacturing Director,4,Married,4775,Upto 5k,No,4,1,2,1,2,2,0,0
RM667,22,18-25,Yes,Research & Development,1,Life Sciences,2,Female,3,Manufacturing Director,3,Married,4171,Upto 5k,Yes,3,1,3,4,3,0,1,1
RM735,22,18-25,No,Research & Development,1,Life Sciences,2,Male,1,Laboratory Technician,1,Married,2451,Upto 5k,No,3,1,3,2,4,1,0,0
RM861,22,18-25,Yes,Research & Development,4,Life Sciences,3,Male,2,Research Scientist,4,Married,2853,Upto 5k,Yes,3,2,5,3,0,0,1,0
RM1138,22,18-25,No,Research & Development,2,Other,2,Female,2,Research Scientist,3,Married,2814,Upto 5k,Yes,3,2,2,2,4,1,0,1
RM1274,22,18-25,Yes,Research & Development,1,Medical,3,Female,3,Laboratory Technician,1,Married,2398,Upto 5k,Yes,3,3,6,3,1,0,1,1
RM1340,22,18-25,Yes,Research & Development,1,Life Sciences,4,Male,3,Research Scientist,2,Single,2472,Upto 5k,Yes,4,1,2,3,1,0,1,0
RM1424,22,18-25,No,Research & Development,2,Life Sciences,4,Male,3,Research Scientist,3,Single,3375,Upto 5k,No,3,4,2,4,3,1,0,0
RM087,23,18-25,No,Sales,1,Technical Degree,3,Male,3,Sales Representative,1,Divorced,2322,Upto 5k,No,3,3,3,3,0,0,0,0
RM346,23,18-25,No,Research & Development,1,Life Sciences,3,Male,3,Research Scientist,4,Divorced,2904,Upto 5k,No,3,3,2,2,4,0,0,0
RM517,23,18-25,No,Research & Development,3,Medical,1,Male,4,Research Scientist,1,Married,2819,Upto 5k,No,3,1,3,4,3,0,0,0
RM551,23,18-25,No,Research & Development,1,Medical,2,Male,3,Laboratory Technician,1,Married,2500,Upto 5k,No,3,4,2,4,4,0,0,0
RM566,23,18-25,No,Research & Development,1,Medical,1,Male,4,Research Scientist,3,Single,3505,Upto 5k,No,3,4,3,3,2,0,0,0
RM586,23,18-25,Yes,Research & Development,3,Life Sciences,3,Male,4,Laboratory Technician,1,Married,1601,Upto 5k,Yes,4,3,2,3,0,0,1,0
RM911,23,18-25,No,Research & Development,2,Life Sciences,4,Male,3,Research Scientist,3,Married,1223,Upto 5k,No,4,4,2,3,1,0,0,0
RM1083,23,18-25,No,Research & Development,1,Life Sciences,1,Male,3,Laboratory Technician,3,Single,2272,Upto 5k,No,3,2,2,3,4,1,0,0
RM1128,23,18-25,No,Research & Development,3,Technical Degree,4,Male,4,Research Scientist,3,Married,2073,Upto 5k,No,3,4,2,3,2,2,0,0
RM1202,23,18-25,Yes,Research & Development,1,Medical,4,Male,2,Laboratory Technician,3,Single,3989,Upto 5k,Yes,3,1,2,3,5,1,1,0
RM1214,23,18-25,Yes,Sales,3,Life Sciences,3,Male,3,Sales Representative,4,Divorced,2275,Upto 5k,Yes,4,2,2,3,3,0,1,0
RM1239,23,18-25,No,Research & Development,1,Medical,3,Female,3,Laboratory Technician,2,Single,3295,Upto 5k,No,3,3,3,1,3,1,0,1
RM1409,23,18-25,No,Research & Development,2,Other,4,Male,3,Laboratory Technician,4,Single,2647,Upto 5k,No,3,3,6,4,5,1,0,0
RM1439,23,18-25,Yes,Sales,3,Marketing,4,Male,3,Sales Representative,1,Married,1790,Upto 5k,No,3,1,3,2,1,1,1,0
RM021,24,18-25,No,Research & Development,2,Other,1,Female,4,Manufacturing Director,3,Divorced,4011,Upto 5k,No,3,4,5,2,4,1,0,1
RM035,24,18-25,Yes,Research & Development,3,Medical,2,Male,3,Research Scientist,4,Married,2293,Upto 5k,Yes,3,1,2,2,2,2,1,0
RM097,24,18-25,No,Sales,2,Other,1,Female,3,Sales Executive,3,Married,4999,Upto 5k,No,4,1,2,2,3,0,0,1
RM114,24,18-25,No,Research & Development,1,Life Sciences,2,Male,3,Laboratory Technician,3,Married,2774,Upto 5k,No,3,3,2,3,5,1,0,0
RM381,24,18-25,No,Sales,4,Marketing,4,Female,3,Sales Executive,3,Divorced,4260,Upto 5k,Yes,3,4,2,4,5,0,0,1
RM415,24,18-25,Yes,Sales,1,Technical Degree,1,Female,3,Sales Representative,2,Single,3202,Upto 5k,Yes,3,2,4,3,5,1,1,1
RM471,24,18-25,No,Sales,3,Medical,4,Male,3,Sales Representative,4,Married,2400,Upto 5k,No,3,3,3,3,2,2,0,0
RM475,24,18-25,No,Research & Development,3,Medical,2,Male,4,Research Scientist,4,Married,2725,Upto 5k,Yes,3,2,3,3,6,1,0,0
RM477,24,18-25,No,Research & Development,2,Other,4,Male,2,Laboratory Technician,2,Married,2127,Upto 5k,No,4,4,2,3,1,0,0,0
RM480,24,18-25,Yes,Research & Development,3,Life Sciences,1,Female,3,Laboratory Technician,3,Married,2886,Upto 5k,Yes,3,4,4,3,6,1,1,1
RM526,24,18-25,Yes,Sales,2,Life Sciences,1,Female,3,Sales Executive,3,Single,4577,Upto 5k,No,3,1,3,3,2,2,1,1
RM587,24,18-25,No,Research & Development,3,Life Sciences,3,Male,2,Laboratory Technician,2,Divorced,2694,Upto 5k,No,3,3,4,3,1,0,0,0
RM641,24,18-25,No,Research & Development,1,Life Sciences,1,Male,2,Laboratory Technician,4,Married,3162,Upto 5k,No,3,4,2,2,5,3,0,0
RM725,24,18-25,No,Research & Development,1,Medical,4,Female,2,Manufacturing Director,3,Divorced,4377,Upto 5k,No,3,2,6,3,4,3,0,1
RM842,24,18-25,No,Research & Development,3,Medical,4,Male,3,Laboratory Technician,2,Single,3597,Upto 5k,No,4,4,2,3,4,1,0,0
RM872,24,18-25,Yes,Research & Development,2,Life Sciences,4,Female,3,Laboratory Technician,2,Married,2210,Upto 5k,No,3,1,3,1,1,0,1,1
RM1026,24,18-25,No,Sales,1,Medical,4,Female,3,Sales Executive,3,Married,4162,Upto 5k,Yes,3,3,3,3,5,0,0,1
RM1061,24,18-25,Yes,Research & Development,3,Medical,2,Male,3,Laboratory Technician,1,Single,3172,Upto 5k,Yes,3,3,2,2,0,0,1,0
RM1062,24,18-25,No,Sales,2,Life Sciences,4,Female,3,Sales Representative,2,Married,2033,Upto 5k,No,3,3,2,3,1,0,0,1
RM1098,24,18-25,No,Research & Development,2,Technical Degree,3,Male,2,Laboratory Technician,1,Divorced,2296,Upto 5k,No,3,2,3,3,1,0,0,0
RM1169,24,18-25,No,Research & Development,1,Technical Degree,1,Female,3,Research Scientist,4,Single,3760,Upto 5k,Yes,3,3,2,3,6,1,0,1
RM1218,24,18-25,No,Research & Development,3,Medical,3,Male,4,Research Scientist,3,Married,4401,Upto 5k,No,3,4,1,3,5,0,0,0
RM1223,24,18-25,Yes,Human Resources,1,Human Resources,4,Male,1,Human Resources,3,Married,1555,Upto 5k,No,3,3,2,3,1,0,1,0
RM1231,24,18-25,No,Research & Development,1,Medical,2,Male,3,Laboratory Technician,1,Divorced,3907,Upto 5k,No,3,2,2,4,6,1,0,0
RM1246,24,18-25,No,Human Resources,3,Medical,1,Male,3,Human Resources,4,Married,2145,Upto 5k,No,3,4,2,3,2,2,0,0
RM1408,24,18-25,No,Research & Development,2,Life Sciences,2,Male,2,Healthcare Representative,3,Single,4617,Upto 5k,No,3,2,2,2,4,1,0,0
RM108,25,18-25,Yes,Sales,3,Marketing,3,Male,2,Sales Executive,3,Single,5744,5k-10k,Yes,3,4,1,3,6,0,1,0
RM109,25,18-25,No,Research & Development,1,Medical,4,Male,2,Research Scientist,4,Married,2889,Upto 5k,No,3,3,2,3,2,2,0,0
RM139,25,18-25,No,Sales,3,Life Sciences,1,Male,2,Sales Executive,3,Married,8639,5k-10k,No,3,4,3,3,2,2,0,0
RM256,25,18-25,No,Research & Development,3,Life Sciences,1,Female,3,Manufacturing Director,3,Married,4898,Upto 5k,No,3,4,3,3,4,1,0,1
RM268,25,18-25,No,Research & Development,2,Life Sciences,2,Male,4,Healthcare Representative,1,Divorced,4000,Upto 5k,No,3,4,2,3,6,1,0,0
RM398,25,18-25,No,Sales,2,Life Sciences,2,Female,2,Sales Executive,4,Single,4487,Upto 5k,Yes,3,2,3,3,5,1,0,1
RM406,25,18-25,Yes,Research & Development,3,Medical,1,Male,3,Laboratory Technician,1,Married,4031,Upto 5k,No,3,3,5,3,2,0,1,0
RM479,25,18-25,No,Sales,1,Medical,2,Male,3,Sales Representative,3,Married,2096,Upto 5k,No,3,3,1,3,7,0,0,0
RM518,25,18-25,No,Sales,3,Life Sciences,4,Male,4,Sales Executive,2,Married,4851,Upto 5k,No,4,3,4,3,3,1,0,0
RM564,25,18-25,No,Sales,1,Medical,3,Female,3,Sales Executive,4,Single,6180,5k-10k,No,4,2,5,2,6,1,0,1
RM619,25,18-25,No,Research & Development,1,Medical,1,Male,4,Research Scientist,1,Single,3424,Upto 5k,No,3,3,3,2,4,0,0,0
RM635,25,18-25,No,Sales,1,Other,3,Male,3,Sales Executive,1,Married,4194,Upto 5k,Yes,3,4,3,3,5,0,0,0
RM639,25,18-25,No,Sales,1,Marketing,3,Male,2,Sales Executive,1,Married,4256,Upto 5k,No,3,1,1,4,5,0,0,0
RM684,25,18-25,Yes,Sales,2,Marketing,3,Male,2,Sales Representative,2,Married,2413,Upto 5k,Yes,3,3,2,3,1,0,1,0
RM797,25,18-25,Yes,Research & Development,1,Technical Degree,4,Male,3,Laboratory Technician,4,Married,3691,Upto 5k,Yes,3,2,3,4,7,5,1,0
RM886,25,18-25,No,Sales,4,Life Sciences,3,Male,3,Sales Executive,4,Single,4950,Upto 5k,No,3,2,4,3,4,1,0,0
RM912,25,18-25,Yes,Sales,1,Life Sciences,3,Male,1,Sales Representative,4,Single,1118,Upto 5k,Yes,3,4,4,3,1,1,1,0
RM935,25,18-25,No,Research & Development,3,Medical,4,Female,3,Research Scientist,2,Single,2096,Upto 5k,No,3,4,3,2,2,2,0,1
RM966,25,18-25,No,Research & Development,1,Medical,4,Male,3,Laboratory Technician,4,Married,3669,Upto 5k,No,3,3,6,2,3,1,0,0
RM994,25,18-25,No,Sales,1,Life Sciences,1,Male,4,Sales Executive,3,Married,6232,5k-10k,No,3,2,3,2,3,1,0,0
RM1004,25,18-25,No,Research & Development,3,Technical Degree,1,Male,3,Laboratory Technician,4,Married,3229,Upto 5k,No,3,2,2,2,3,0,0,0
RM1022,25,18-25,Yes,Sales,2,Life Sciences,1,Male,2,Sales Representative,1,Married,4400,Upto 5k,No,3,1,2,3,3,2,1,0
RM1175,25,18-25,No,Research & Development,1,Life Sciences,4,Male,4,Manufacturing Director,3,Divorced,5206,5k-10k,No,3,3,6,3,7,0,0,0
RM1412,25,18-25,No,Human Resources,3,Human Resources,3,Female,3,Human Resources,2,Married,2187,Upto 5k,No,3,3,3,3,2,1,0,1
RM1414,25,18-25,No,Research & Development,1,Other,4,Male,3,Laboratory Technician,3,Divorced,3977,Upto 5k,Yes,3,3,2,2,2,0,0,0
RM1434,25,18-25,No,Sales,2,Other,1,Female,3,Sales Executive,3,Divorced,4907,Upto 5k,Yes,4,2,3,2,5,0,0,1
RM043,26,26-35,Yes,Research & Development,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,2293,Upto 5k,No,3,3,2,2,1,0,1,0
RM055,26,26-35,No,Sales,3,Marketing,3,Female,2,Sales Executive,4,Married,4157,Upto 5k,Yes,3,3,2,2,2,0,0,1
RM126,26,26-35,No,Research & Development,3,Other,3,Female,2,Research Scientist,2,Married,2368,Upto 5k,No,3,3,3,2,5,4,0,1
RM135,26,26-35,No,Human Resources,1,Life Sciences,3,Female,3,Human Resources,3,Married,2942,Upto 5k,No,4,4,3,3,8,5,0,1
RM279,26,26-35,No,Research & Development,3,Life Sciences,3,Female,3,Manufacturing Director,2,Divorced,6397,5k-10k,No,4,1,6,1,6,1,0,1
RM285,26,26-35,No,Research & Development,2,Medical,1,Male,3,Healthcare Representative,1,Married,4741,Upto 5k,Yes,3,3,3,3,5,3,0,0
RM289,26,26-35,Yes,Research & Development,4,Medical,1,Male,3,Laboratory Technician,2,Divorced,2373,Upto 5k,Yes,3,4,2,3,3,0,1,0
RM294,26,26-35,Yes,Sales,4,Marketing,4,Male,2,Sales Executive,4,Single,5828,5k-10k,Yes,3,2,0,3,8,7,1,0
RM356,26,26-35,No,Sales,3,Life Sciences,3,Male,3,Sales Executive,3,Married,5296,5k-10k,No,3,2,3,3,8,7,0,0
RM383,26,26-35,Yes,Research & Development,1,Technical Degree,3,Male,3,Research Scientist,1,Single,3102,Upto 5k,No,4,3,2,3,6,0,1,0
RM419,26,26-35,No,Research & Development,3,Life Sciences,1,Female,3,Research Scientist,4,Divorced,2886,Upto 5k,No,4,2,3,1,3,0,0,1
RM454,26,26-35,Yes,Human Resources,4,Life Sciences,2,Female,3,Human Resources,3,Divorced,2741,Upto 5k,Yes,3,2,2,2,7,1,1,1
RM461,26,26-35,No,Sales,2,Medical,1,Male,3,Sales Executive,3,Divorced,4306,Upto 5k,No,3,1,5,3,0,0,0,0
RM464,26,26-35,Yes,Research & Development,3,Technical Degree,3,Male,1,Laboratory Technician,4,Single,2340,Upto 5k,Yes,3,2,3,1,1,0,1,0
RM476,26,26-35,No,Sales,2,Marketing,1,Male,3,Sales Executive,2,Married,6272,5k-10k,No,4,4,5,4,5,1,0,0
RM506,26,26-35,No,Research & Development,3,Life Sciences,3,Female,3,Laboratory Technician,4,Married,2659,Upto 5k,Yes,3,3,2,3,3,0,0,1
RM572,26,26-35,No,Research & Development,2,Life Sciences,1,Female,1,Laboratory Technician,4,Divorced,4364,Upto 5k,No,3,1,2,3,2,2,0,1
RM574,26,26-35,Yes,Sales,3,Technical Degree,4,Male,2,Sales Executive,1,Single,5326,5k-10k,No,3,3,2,2,4,1,1,0
RM615,26,26-35,Yes,Research & Development,2,Medical,3,Female,2,Research Scientist,3,Married,2366,Upto 5k,Yes,3,1,2,3,8,1,1,1
RM686,26,26-35,No,Sales,3,Medical,3,Male,2,Sales Executive,1,Single,4294,Upto 5k,No,3,2,2,3,7,0,0,0
RM734,26,26-35,No,Research & Development,2,Medical,4,Male,4,Manufacturing Director,4,Married,5472,5k-10k,No,3,2,2,3,8,1,0,0
RM749,26,26-35,Yes,Sales,2,Medical,2,Male,1,Sales Executive,1,Single,4969,Upto 5k,No,3,4,6,3,2,2,1,0
RM763,26,26-35,Yes,Research & Development,3,Life Sciences,1,Male,3,Research Scientist,1,Married,2042,Upto 5k,Yes,3,2,2,3,3,1,1,0
RM770,26,26-35,No,Research & Development,1,Medical,1,Female,2,Research Scientist,3,Divorced,2007,Upto 5k,No,3,3,5,3,5,1,0,1
RM782,26,26-35,No,Research & Development,2,Medical,1,Male,2,Laboratory Technician,1,Married,3955,Upto 5k,No,3,1,2,3,5,1,0,0
RM798,26,26-35,Yes,Research & Development,3,Medical,1,Male,3,Laboratory Technician,3,Divorced,2377,Upto 5k,No,4,3,0,2,1,0,1,0
RM844,26,26-35,No,Research & Development,4,Medical,1,Male,4,Laboratory Technician,4,Married,4420,Upto 5k,No,4,2,2,3,8,0,0,0
RM913,26,26-35,No,Research & Development,2,Life Sciences,3,Male,3,Research Scientist,4,Single,2875,Upto 5k,Yes,4,2,2,2,8,2,0,0
RM999,26,26-35,No,Research & Development,1,Medical,1,Male,2,Research Scientist,4,Single,3904,Upto 5k,No,3,4,2,3,4,1,0,0
RM1005,26,26-35,No,Research & Development,3,Other,3,Male,4,Laboratory Technician,1,Single,3578,Upto 5k,No,3,4,2,3,7,0,0,0
RM1119,26,26-35,No,Research & Development,3,Life Sciences,1,Female,3,Research Scientist,4,Married,2061,Upto 5k,No,4,1,5,3,1,0,0,1
RM1207,26,26-35,No,Research & Development,3,Medical,4,Male,3,Laboratory Technician,4,Single,2570,Upto 5k,No,4,3,5,3,7,5,0,0
RM1225,26,26-35,No,Research & Development,4,Medical,4,Male,1,Laboratory Technician,3,Married,2305,Upto 5k,No,3,3,3,4,3,0,0,0
RM1298,26,26-35,Yes,Human Resources,2,Medical,4,Female,3,Human Resources,2,Married,2148,Upto 5k,Yes,3,3,3,3,5,1,1,1
RM1310,26,26-35,No,Sales,3,Medical,3,Male,3,Sales Executive,4,Single,4684,Upto 5k,No,3,1,4,3,5,1,0,0
RM1350,26,26-35,No,Research & Development,2,Life Sciences,2,Female,2,Research Scientist,3,Married,2933,Upto 5k,Yes,3,3,3,2,1,1,0,1
RM1362,26,26-35,No,Research & Development,3,Other,3,Male,4,Laboratory Technician,4,Married,2544,Upto 5k,No,3,1,3,3,7,7,0,0
RM1387,26,26-35,No,Research & Development,3,Medical,3,Male,3,Laboratory Technician,1,Single,2867,Upto 5k,No,3,4,6,2,7,7,0,0
RM1465,26,26-35,No,Sales,3,Other,4,Female,2,Sales Representative,3,Single,2966,Upto 5k,No,3,4,2,3,4,0,0,1
RM005,27,26-35,No,Research & Development,1,Medical,1,Male,3,Laboratory Technician,2,Married,3468,Upto 5k,No,3,4,3,3,2,2,0,0
RM042,27,26-35,No,Research & Development,4,Life Sciences,4,Female,3,Laboratory Technician,1,Divorced,2341,Upto 5k,No,3,4,6,3,1,0,0,1
RM044,27,26-35,No,Sales,3,Life Sciences,4,Male,3,Sales Executive,3,Single,8726,5k-10k,No,3,4,0,3,9,1,0,0
RM162,27,26-35,No,Research & Development,3,Medical,4,Male,3,Research Scientist,2,Divorced,2024,Upto 5k,No,3,4,1,1,2,2,0,0
RM165,27,26-35,No,Research & Development,3,Medical,3,Male,2,Research Scientist,3,Divorced,2566,Upto 5k,Yes,3,4,2,2,1,0,0,0
RM171,27,26-35,No,Research & Development,3,Technical Degree,3,Male,3,Research Scientist,2,Married,3058,Upto 5k,Yes,3,4,3,2,5,1,0,0
RM192,27,26-35,No,Research & Development,3,Medical,4,Female,3,Research Scientist,2,Single,2279,Upto 5k,No,3,4,2,2,7,0,0,1
RM201,27,26-35,No,Research & Development,1,Technical Degree,3,Male,2,Manufacturing Director,1,Married,4298,Upto 5k,No,3,3,1,3,2,2,0,0
RM213,27,26-35,No,Sales,3,Life Sciences,4,Female,3,Sales Executive,3,Single,9981,5k-10k,No,3,4,2,3,7,0,0,1
RM319,27,26-35,No,Research & Development,3,Life Sciences,3,Female,3,Research Scientist,2,Single,2478,Upto 5k,Yes,3,2,2,2,4,1,0,1
RM321,27,26-35,No,Sales,3,Life Sciences,4,Male,3,Sales Executive,3,Single,4478,Upto 5k,Yes,3,1,3,3,5,0,0,0
RM332,27,26-35,No,Sales,1,Marketing,3,Male,3,Sales Executive,2,Married,6349,5k-10k,Yes,3,4,0,3,5,1,0,0
RM340,27,26-35,No,Sales,4,Marketing,2,Female,3,Sales Executive,2,Married,6214,5k-10k,No,3,1,3,3,8,0,0,1
RM374,27,26-35,No,Research & Development,2,Medical,4,Male,3,Laboratory Technician,2,Divorced,3816,Upto 5k,No,3,2,2,3,5,0,0,0
RM486,27,26-35,No,Research & Development,4,Medical,1,Female,2,Research Scientist,3,Divorced,2187,Upto 5k,No,3,3,5,2,5,0,0,1
RM496,27,26-35,Yes,Sales,1,Marketing,3,Male,3,Sales Representative,1,Divorced,3041,Upto 5k,No,3,2,3,3,4,0,1,0
RM513,27,26-35,No,Research & Development,4,Medical,1,Male,2,Research Scientist,4,Single,2045,Upto 5k,No,3,4,0,3,4,1,0,0
RM522,27,26-35,No,Sales,1,Medical,4,Female,4,Sales Executive,4,Divorced,4647,Upto 5k,Yes,4,2,3,3,6,0,0,1
RM531,27,26-35,No,Research & Development,2,Life Sciences,3,Female,3,Manufacturing Director,1,Married,7412,5k-10k,No,3,4,3,3,9,0,0,1
RM538,27,26-35,No,Research & Development,2,Life Sciences,4,Male,3,Manufacturing Director,1,Divorced,8793,5k-10k,No,4,3,4,2,9,1,0,0
RM555,27,26-35,No,Research & Development,3,Medical,4,Female,2,Healthcare Representative,1,Single,6811,5k-10k,No,3,1,2,1,7,0,0,1
RM577,27,26-35,No,Sales,1,Marketing,3,Male,3,Sales Executive,4,Married,4342,Upto 5k,No,3,2,3,3,4,1,0,0
